Mes,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,,5.1,5.2,7.8,6.6,6.4,5.6,4.7,5.9,6.1,6.8,7.9,7.1,7.1,6.0,4.8,7.2,7.2,6.1,7.6,5.8,5.6,6.5,8.0,5.2,5.4,6.4,6.7
2,9.3,5.9,7.4,7.6,8.7,10.9,5.9,7.5,7.3,7.1,8.9,6.4,10.3,9.9,7.6,10.8,8.5,9.0,6.8,8.1,5.2,6.7,9.3,9.3,7.9,6.4,8.5,6.2
3,9.2,9.9,11.5,11.7,12.6,11.5,10.4,11.4,10.6,13.9,11.5,10.3,14.7,13.2,10.8,12.1,12.3,11.3,12.3,9.4,10.9,11.3,10.1,10.9,12.4,9.3,10.0,11.9
4,13.3,8.8,14.0,12.5,10.9,11.2,11.8,14.0,12.0,12.2,14.5,14.0,15.9,11.0,13.7,10.7,13.7,13.7,13.4,12.4,14.3,14.9,13.2,14.0,12.6,14.3,16.7,11.6
5,14.8,18.7,16.7,15.5,18.4,17.8,16.0,18.5,15.6,16.9,18.9,15.9,16.5,15.7,18.0,18.1,16.8,15.6,18.7,15.1,19.2,19.7,16.4,15.5,19.3,16.2,19.1,19.2
6,21.7,22.3,22.0,18.2,22.2,23.4,23.4,17.4,21.0,22.8,22.1,22.8,19.5,22.4,22.1,23.1,23.4,23.5,25.5,24.5,25.1,23.5,20.2,21.2,23.7,21.1,22.8,24.5
7,26.2,26.1,23.9,24.3,26.7,26.4,26.5,26.3,25.3,27.8,26.4,25.0,23.2,26.1,26.3,23.9,24.2,24.8,25.9,25.6,26.6,27.3,24.7,25.0,26.3,27.5,25.1,26.2
8,24.9,24.0,25.7,25.2,26.0,25.8,27.2,25.3,25.6,26.4,25.1,23.6,24.6,26.1,25.5,24.4,25.6,23.7,27.2,24.1,25.7,24.2,23.7,25.7,27.5,26.0,25.9,26.9
9,24.2,21.0,23.9,21.6,19.8,22.0,21.9,20.9,18.7,18.6,18.3,18.3,22.4,20.2,20.1,21.0,20.4,19.7,21.8,22.3,20.6,22.0,21.2,19.8,21.5,21.3,22.7,21.2
10,17.2,15.7,13.4,15.4,16.6,14.7,12.3,12.7,11.2,15.4,17.5,15.0,17.1,14.1,14.6,14.8,16.2,14.8,14.0,15.6,15.4,16.9,15.0,14.6,17.3,14.1,17.2,
11,8.7,9.9,9.9,10.3,11.9,9.3,9.4,11.2,8.8,11.4,11.7,10.2,9.5,9.8,7.8,8.8,8.1,9.9,10.4,9.2,8.6,11.9,9.1,7.9,11.5,8.7,11.2,
12,6.1,6.3,8.3,6.6,9.5,5.3,7.2,7.4,6.5,7.2,8.4,7.4,6.9,5.9,5.9,7.6,4.2,8.7,6.8,7.4,6.2,6.6,6.3,6.3,6.2,6.2,6.9,
