Mes,Anyo,Valor
1,1985,
2,1985,9.3
3,1985,9.2
4,1985,13.3
5,1985,14.8
6,1985,21.7
7,1985,26.2
8,1985,24.9
9,1985,24.2
10,1985,17.2
11,1985,8.7
12,1985,6.1
1,1986,5.1
2,1986,5.9
3,1986,9.9
4,1986,8.8
5,1986,18.7
6,1986,22.3
7,1986,26.1
8,1986,24.0
9,1986,21.0
10,1986,15.7
11,1986,9.9
12,1986,6.3
1,1987,5.2
2,1987,7.4
3,1987,11.5
4,1987,14.0
5,1987,16.7
6,1987,22.0
7,1987,23.9
8,1987,25.7
9,1987,23.9
10,1987,13.4
11,1987,9.9
12,1987,8.3
1,1988,7.8
2,1988,7.6
3,1988,11.7
4,1988,12.5
5,1988,15.5
6,1988,18.2
7,1988,24.3
8,1988,25.2
9,1988,21.6
10,1988,15.4
11,1988,10.3
12,1988,6.6
1,1989,6.6
2,1989,8.7
3,1989,12.6
4,1989,10.9
5,1989,18.4
6,1989,22.2
7,1989,26.7
8,1989,26.0
9,1989,19.8
10,1989,16.6
11,1989,11.9
12,1989,9.5
1,1990,6.4
2,1990,10.9
3,1990,11.5
4,1990,11.2
5,1990,17.8
6,1990,23.4
7,1990,26.4
8,1990,25.8
9,1990,22.0
10,1990,14.7
11,1990,9.3
12,1990,5.3
1,1991,5.6
2,1991,5.9
3,1991,10.4
4,1991,11.8
5,1991,16.0
6,1991,23.4
7,1991,26.5
8,1991,27.2
9,1991,21.9
10,1991,12.3
11,1991,9.4
12,1991,7.2
1,1992,4.7
2,1992,7.5
3,1992,11.4
4,1992,14.0
5,1992,18.5
6,1992,17.4
7,1992,26.3
8,1992,25.3
9,1992,20.9
10,1992,12.7
11,1992,11.2
12,1992,7.4
1,1993,5.9
2,1993,7.3
3,1993,10.6
4,1993,12.0
5,1993,15.6
6,1993,21.0
7,1993,25.3
8,1993,25.6
9,1993,18.7
10,1993,11.2
11,1993,8.8
12,1993,6.5
1,1994,6.1
2,1994,7.1
3,1994,13.9
4,1994,12.2
5,1994,16.9
6,1994,22.8
7,1994,27.8
8,1994,26.4
9,1994,18.6
10,1994,15.4
